Drug name	STITCH ID	Phase	Drug status	Smiles	Level 1 ATC Codes
phenoxybenzamine	CIDs00004768	Phase 4	approved	CC(COc1ccccc1)N(CCCl)Cc1ccccc1	C - CARDIOVASCULAR SYSTEM
phentermine	CIDs00004771	Phase 4	approved	CC(C)(N)Cc1ccccc1	A - ALIMENTARY TRACT AND METABOLISM
4-phenylbutyrate	CIDs00004775	Phase 4	approved	O=C(O)CCCc1ccccc1	
phenylbutazone	CIDs00004781	Phase 4	approved	CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O	M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM
moxonidine	CIDs00004810	Phase 4	approved	COc1nc(C)nc(Cl)c1NC1=NCCN1	C - CARDIOVASCULAR SYSTEM
picotamide	CIDs00004814	Phase 4	approved	COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1	B - BLOOD AND BLOOD FORMING ORGANS
pinacidil	CIDs00004826	Phase 4	approved	CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C	
pindolol	CIDs00004828	Phase 4	approved	CC(C)NCC(O)COc1cccc2[nH]ccc12	C - CARDIOVASCULAR SYSTEM
pioglitazone	CIDs00004829	Phase 4	approved	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1	A - ALIMENTARY TRACT AND METABOLISM
pipamperone	CIDs00004830	Phase 3	unapproved	NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1	N - NERVOUS SYSTEM
pipemidic acid	CIDs00004831	Phase 4	approved	CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21	J - ANTIINFECTIVES FOR SYSTEMIC USE
piperazine	CIDs00004837	Phase 4	approved	C1CNCCN1	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
Dactil	CIDs00004839	Phase 4	approved	CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1	A - ALIMENTARY TRACT AND METABOLISM
pirbuterol	CIDs00004845	Phase 4	approved	CC(C)(C)NCC(O)c1ccc(O)c(CO)n1	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM
pirenzepine	CIDs00004848	Phase 4	approved	CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1	A - ALIMENTARY TRACT AND METABOLISM
piretanide	CIDs00004849	Phase 4	approved	NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1	C - CARDIOVASCULAR SYSTEM
piribedil	CIDs00004850	Phase 4	approved	c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1	N - NERVOUS SYSTEM
polythiazide	CIDs00004870	Phase 4	approved	CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O	C - CARDIOVASCULAR SYSTEM
potassium chloride	CIDs00004873	Phase 4	approved	[Cl-].[K+]	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM | B - BLOOD AND BLOOD FORMING ORGANS
practolol	CIDs00004883	Phase 4	approved	CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1	C - CARDIOVASCULAR SYSTEM
pranlukast	CIDs00004887	Phase 3	unapproved	O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1	R - RESPIRATORY SYSTEM
prazepam	CIDs00004890	Phase 4	approved	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1	N - NERVOUS SYSTEM
prazosin	CIDs00004893	Phase 4	approved	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC	C - CARDIOVASCULAR SYSTEM
prilocaine	CIDs00004906	Phase 4	approved	CCCNC(C)C(=O)Nc1ccccc1C	N - NERVOUS SYSTEM | N - NERVOUS SYSTEM
primaquine	CIDs00004908	Phase 4	approved	COc1cc(NC(C)CCCN)c2ncccc2c1	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
primidone	CIDs00004909	Phase 4	approved	CCC1(c2ccccc2)C(=O)NCNC1=O	N - NERVOUS SYSTEM
probenecid	CIDs00004911	Phase 4	approved	CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	M - MUSCULO-SKELETAL SYSTEM
probucol	CIDs00004912	Phase 4	approved	CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	C - CARDIOVASCULAR SYSTEM
procainamide	CIDs00004913	Phase 4	approved	CCN(CC)CCNC(=O)c1ccc(N)cc1	C - CARDIOVASCULAR SYSTEM
procaine	CIDs00004914	Phase 4	approved	CCN(CC)CCOC(=O)c1ccc(N)cc1	N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | S - SENSORY ORGANS | C - CARDIOVASCULAR SYSTEM
procaterol	CIDs00004916	Phase 3	unapproved	CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM
prochlorperazine	CIDs00004917	Phase 4	approved	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	N - NERVOUS SYSTEM
procyclidine	CIDs00004919	Phase 4	approved	OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1	N - NERVOUS SYSTEM
proglumide	CIDs00004922	Phase 4	approved	CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1	A - ALIMENTARY TRACT AND METABOLISM
promazine	CIDs00004926	Phase 4	approved	CN(C)CCCN1c2ccccc2Sc2ccccc21	N - NERVOUS SYSTEM
promethazine	CIDs00004927	Phase 4	approved	CC(CN1c2ccccc2Sc2ccccc21)N(C)C	R - RESPIRATORY SYSTEM | D - DERMATOLOGICALS | R - RESPIRATORY SYSTEM
propafenone	CIDs00004932	Phase 4	approved	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	C - CARDIOVASCULAR SYSTEM
propantheline	CIDs00004934	Phase 4	approved	CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C	A - ALIMENTARY TRACT AND METABOLISM
proparacaine	CIDs00004935	Phase 4	approved	CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N	S - SENSORY ORGANS
propiomazine	CIDs00004940	Phase 4	approved	CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2	N - NERVOUS SYSTEM
propofol	CIDs00004943	Phase 4	approved	CC(C)c1cccc(C(C)C)c1O	N - NERVOUS SYSTEM
propranolol	CIDs00004946	Phase 4	approved	CC(C)NCC(O)COc1cccc2ccccc12	C - CARDIOVASCULAR SYSTEM
propyl ester	CIDs00004947	Phase 1	unapproved	CCCOC(=O)c1cc(O)c(O)c(O)c1	
protriptyline	CIDs00004976	Phase 4	approved	CNCCCC1c2ccccc2C=Cc2ccccc21	N - NERVOUS SYSTEM
pyridostigmine	CIDs00004991	Phase 4	approved	CN(C)C(=O)Oc1ccc[n+](C)c1	N - NERVOUS SYSTEM
mepyramine	CIDs00004992	Phase 4	approved	COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	R - RESPIRATORY SYSTEM | D - DERMATOLOGICALS
pyrimethamine	CIDs00004993	Phase 4	approved	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
pyroxamide	CIDs00004996	Phase 1	unapproved	O=C(CCCCCCC(=O)Nc1cccnc1)NO	
quazepam	CIDs00004999	Phase 4	approved	Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21	N - NERVOUS SYSTEM
quetiapine	CIDs00005002	Phase 4	approved	OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1	N - NERVOUS SYSTEM
rabeprazole	CIDs00005029	Phase 4	approved	COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM
raloxifene	CIDs00005035	Phase 4	approved	O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12	G - GENITO URINARY SYSTEM AND SEX HORMONES
rebamipide	CIDs00005042	Phase 3	unapproved	O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1	A - ALIMENTARY TRACT AND METABOLISM
resorcinol	CIDs00005054	Phase 4	approved	Oc1cccc(O)c1	S - SENSORY ORGANS | D - DERMATOLOGICALS
riluzole	CIDs00005070	Phase 4	approved	Nc1nc2ccc(OC(F)(F)F)cc2s1	N - NERVOUS SYSTEM
risperidone	CIDs00005073	Phase 4	approved	Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2	N - NERVOUS SYSTEM
ritanserin	CIDs00005074	Phase 2	unapproved	Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1	
rizatriptan	CIDs00005078	Phase 4	approved	CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12	N - NERVOUS SYSTEM
rofecoxib	CIDs00005090	Phase 4	approved	CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1	M - MUSCULO-SKELETAL SYSTEM
rolipram	CIDs00005092	Phase 2	unapproved	COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1	
ropinirole	CIDs00005095	Phase 4	approved	CCCN(CCC)CCc1cccc2c1CC(=O)N2	N - NERVOUS SYSTEM
saccharin	CIDs00005143	Phase 3	unapproved	O=C1NS(=O)(=O)c2ccccc21	
salmeterol	CIDs00005152	Phase 4	approved	OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O	R - RESPIRATORY SYSTEM
sarpogrelate	CIDs00005160	Phase 3	unapproved	COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1	
salsalate	CIDs00005161	Phase 4	approved	O=C(Oc1ccccc1C(=O)O)c1ccccc1O	N - NERVOUS SYSTEM
secobarbital	CIDs00005193	Phase 4	approved	C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O	N - NERVOUS SYSTEM
serotonine	CIDs00005202	Phase 3	unapproved	NCCc1c[nH]c2ccc(O)cc12	
sevoflurane	CIDs00005206	Phase 4	approved	FCOC(C(F)(F)F)C(F)(F)F	N - NERVOUS SYSTEM
sibutramine	CIDs00005210	Phase 4	approved	CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1	A - ALIMENTARY TRACT AND METABOLISM
sildenafil	CIDs00005212	Phase 4	approved	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	G - GENITO URINARY SYSTEM AND SEX HORMONES
sulfadiazine	CIDs00005215	Phase 4	approved	Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	J - ANTIINFECTIVES FOR SYSTEMIC USE
NaCl	CIDs00005234	Phase 4	approved	[Cl-].[Na+]	A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS | B - BLOOD AND BLOOD FORMING ORGANS | B - BLOOD AND BLOOD FORMING ORGANS
sodium fluoride	CIDs00005235	Phase 4	approved	[F-].[Na+]	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM
risedronate	CIDs00005245	Phase 4	approved	O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O	M - MUSCULO-SKELETAL SYSTEM
sotalol	CIDs00005253	Phase 4	approved	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	C - CARDIOVASCULAR SYSTEM
stearic acid	CIDs00005281	Phase 1	unapproved	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2]	
suxamethonium	CIDs00005314	Phase 4	approved	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C	M - MUSCULO-SKELETAL SYSTEM
sulfabenzamide	CIDs00005319	Phase 4	approved	Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1	
sulfacetamide	CIDs00005320	Phase 4	approved	CC(=O)NS(=O)(=O)c1ccc(N)cc1	S - SENSORY ORGANS | D - DERMATOLOGICALS
sulfamethazine	CIDs00005327	Phase 4	approved	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1	J - ANTIINFECTIVES FOR SYSTEMIC USE
sulfamethoxazole	CIDs00005329	Phase 4	approved	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	J - ANTIINFECTIVES FOR SYSTEMIC USE
sulfonamide	CIDs00005333	Phase 4	approved	Nc1ccc(S(N)(=O)=O)cc1	D - DERMATOLOGICALS | J - ANTIINFECTIVES FOR SYSTEMIC USE
sulfaphenazole	CIDs00005335	Phase 4	approved	Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1	J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS
sulfapyridine	CIDs00005336	Phase 4	approved	Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	J - ANTIINFECTIVES FOR SYSTEMIC USE
sulfathiazole	CIDs00005340	Phase 4	approved	Nc1ccc(S(=O)(=O)Nc2nccs2)cc1	D - DERMATOLOGICALS | J - ANTIINFECTIVES FOR SYSTEMIC USE
sulfinpyrazone	CIDs00005342	Phase 4	approved	O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1	M - MUSCULO-SKELETAL SYSTEM
sulfisoxazole	CIDs00005344	Phase 4	approved	Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C	J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS
sulforaphane	CIDs00005350	Phase 3	unapproved	C[S+]([O-])CCCCN=C=S	
Diamidin	CIDs00005351	Phase 4	approved	O=S(O)CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)O)cc2)cc1	
sulpiride	CIDs00005355	Phase 4	approved	CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC	N - NERVOUS SYSTEM
sulthiame	CIDs00005356	Phase 4	approved	NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1	N - NERVOUS SYSTEM
sumatriptan	CIDs00005358	Phase 4	approved	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1	N - NERVOUS SYSTEM
suprofen	CIDs00005359	Phase 4	approved	CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1	M - MUSCULO-SKELETAL SYSTEM
gatifloxacin	CIDs00005379	Phase 4	approved	COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	S - SENSORY ORGANS | J - ANTIINFECTIVES FOR SYSTEMIC USE
tazarotene	CIDs00005381	Phase 4	approved	CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1	D - DERMATOLOGICALS
telenzepine	CIDs00005387	Phase 1	unapproved	Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O	
temazepam	CIDs00005391	Phase 4	approved	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	N - NERVOUS SYSTEM
terazosin	CIDs00005401	Phase 4	approved	COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC	G - GENITO URINARY SYSTEM AND SEX HORMONES
terbutaline	CIDs00005403	Phase 4	approved	CC(C)(C)NCC(O)c1cc(O)cc(O)c1	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM
terfenadine	CIDs00005405	Phase 4	approved	CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	R - RESPIRATORY SYSTEM
tetracaine	CIDs00005411	Phase 4	approved	CCCCNc1ccc(C(=O)OCCN(C)C)cc1	C - CARDIOVASCULAR SYSTEM | D - DERMATOLOGICALS | S - SENSORY ORGANS | N - NERVOUS SYSTEM
krypton	CIDs00005416	Phase 4	approved	[Kr]	
YxiN	CIDs00005419	Phase 4	approved	c1ccc2c(c1)CCCC2C1=NCCN1	S - SENSORY ORGANS | R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM | S - SENSORY ORGANS
thalidomide	CIDs00005426	Phase 4	approved	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
theobromine	CIDs00005429	Phase 3	unapproved	Cn1cnc2c1c(=O)[nH]c(=O)n2C	R - RESPIRATORY SYSTEM | C - CARDIOVASCULAR SYSTEM | R - RESPIRATORY SYSTEM
thiabendazole	CIDs00005430	Phase 4	approved	c1ccc2[nH]c(-c3cscn3)nc2c1	D - DERMATOLOGICALS | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
2, 4-dioxothiazolidin-3-yl	CIDs00005437	Phase 3	unapproved	O=C1CSC(=O)N1	
thiethylperazine	CIDs00005440	Phase 4	approved	CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2	R - RESPIRATORY SYSTEM
thioridazine	CIDs00005452	Phase 4	approved	CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2	N - NERVOUS SYSTEM
tiapride	CIDs00005467	Phase 3	unapproved	CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC	N - NERVOUS SYSTEM
tiaprofenic acid	CIDs00005468	Phase 4	approved	CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1	M - MUSCULO-SKELETAL SYSTEM
ticlopidine	CIDs00005472	Phase 4	approved	Clc1ccccc1CN1CCc2sccc2C1	B - BLOOD AND BLOOD FORMING ORGANS
tinidazole	CIDs00005479	Phase 4	approved	CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | J - ANTIINFECTIVES FOR SYSTEMIC USE
tinoridine	CIDs00005480	Phase 3	unapproved	CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2	
tioconazole	CIDs00005482	Phase 4	approved	Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1	G - GENITO URINARY SYSTEM AND SEX HORMONES | D - DERMATOLOGICALS
tiopronin	CIDs00005483	Phase 4	approved	CC(S)C(=O)NCC(=O)O	G - GENITO URINARY SYSTEM AND SEX HORMONES
tizanidine	CIDs00005487	Phase 4	approved	Clc1ccc2nsnc2c1NC1=NCCN1	M - MUSCULO-SKELETAL SYSTEM
tolazamide	CIDs00005503	Phase 4	approved	Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1	A - ALIMENTARY TRACT AND METABOLISM
tolazoline	CIDs00005504	Phase 4	approved	c1ccc(CC2=NCCN2)cc1	M - MUSCULO-SKELETAL SYSTEM | C - CARDIOVASCULAR SYSTEM
tolbutamide	CIDs00005505	Phase 4	approved	CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	V - VARIOUS | A - ALIMENTARY TRACT AND METABOLISM
tolmetin	CIDs00005508	Phase 4	approved	Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1	M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM
tolnaftate	CIDs00005510	Phase 4	approved	Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1	D - DERMATOLOGICALS
tolperisone	CIDs00005511	Phase 3	unapproved	Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1	M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM
tranexamic acid	CIDs00005526	Phase 4	approved	NC[C@H]1CC[C@H](C(=O)O)CC1	B - BLOOD AND BLOOD FORMING ORGANS
trazodone	CIDs00005533	Phase 4	approved	O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12	N - NERVOUS SYSTEM
triamterene	CIDs00005546	Phase 4	approved	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1	C - CARDIOVASCULAR SYSTEM
triazolam	CIDs00005556	Phase 4	approved	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	N - NERVOUS SYSTEM
trichlormethiazide	CIDs00005560	Phase 4	approved	NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O	C - CARDIOVASCULAR SYSTEM
triclosan	CIDs00005564	Phase 4	approved	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	D - DERMATOLOGICALS | D - DERMATOLOGICALS
trien	CIDs00005565	Phase 4	approved	NCCNCCNCCN	A - ALIMENTARY TRACT AND METABOLISM
trifluoperazine	CIDs00005566	Phase 4	approved	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	N - NERVOUS SYSTEM
trifluperidol	CIDs00005567	Phase 4	approved	O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1	N - NERVOUS SYSTEM
triflupromazine	CIDs00005568	Phase 4	approved	CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21	N - NERVOUS SYSTEM
trihexyphenidyl	CIDs00005572	Phase 4	approved	OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1	N - NERVOUS SYSTEM
trimebutine	CIDs00005573	Phase 3	unapproved	CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C	A - ALIMENTARY TRACT AND METABOLISM
trimeprazine	CIDs00005574	Phase 4	approved	CC(CN(C)C)CN1c2ccccc2Sc2ccccc21	R - RESPIRATORY SYSTEM
trimethadione	CIDs00005576	Phase 4	approved	CN1C(=O)OC(C)(C)C1=O	N - NERVOUS SYSTEM
TGen	CIDs00005577	Phase 4	approved	COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC	R - RESPIRATORY SYSTEM
trimethoprim	CIDs00005578	Phase 4	approved	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	J - ANTIINFECTIVES FOR SYSTEMIC USE
trimipramine	CIDs00005584	Phase 4	approved	CC(CN(C)C)CN1c2ccccc2CCc2ccccc21	N - NERVOUS SYSTEM
tripelennamine	CIDs00005587	Phase 4	approved	CN(C)CCN(Cc1ccccc1)c1ccccn1	R - RESPIRATORY SYSTEM | D - DERMATOLOGICALS
troglitazone	CIDs00005591	Phase 4	approved	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	A - ALIMENTARY TRACT AND METABOLISM
tropicamide	CIDs00005593	Phase 4	approved	CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1	S - SENSORY ORGANS | S - SENSORY ORGANS
tulobuterol	CIDs00005606	Phase 4	approved	CC(C)(C)NCC(O)c1ccccc1Cl	R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM
tyramine	CIDs00005610	Phase 3	unapproved	NCCc1ccc(O)cc1	
delavirdine	CIDs00005625	Phase 4	approved	CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1	J - ANTIINFECTIVES FOR SYSTEMIC USE
urapidil	CIDs00005639	Phase 3	unapproved	COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1	C - CARDIOVASCULAR SYSTEM
urethane	CIDs00005641	Phase 4	approved	CCOC(N)=O	
venlafaxine	CIDs00005656	Phase 4	approved	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	N - NERVOUS SYSTEM
vesnarinone	CIDs00005663	Phase 2	unapproved	COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC	
vigabatrin	CIDs00005665	Phase 4	approved	C=CC(N)CCC(=O)O	N - NERVOUS SYSTEM
viloxazine	CIDs00005666	Phase 4	approved	CCOc1ccccc1OCC1CNCCO1	N - NERVOUS SYSTEM
xylometazoline	CIDs00005709	Phase 4	approved	Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1	S - SENSORY ORGANS | R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM | S - SENSORY ORGANS
zafirlukast	CIDs00005717	Phase 4	approved	COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12	R - RESPIRATORY SYSTEM
zaleplon	CIDs00005719	Phase 4	approved	CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1	N - NERVOUS SYSTEM
zolpidem	CIDs00005732	Phase 4	approved	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	N - NERVOUS SYSTEM
zomepirac	CIDs00005733	Phase 4	approved	Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1	M - MUSCULO-SKELETAL SYSTEM
zonisamide	CIDs00005734	Phase 4	approved	N=S(=O)(O)Cc1noc2ccccc12	N - NERVOUS SYSTEM
zopiclone	CIDs00005735	Phase 4	approved	CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1	N - NERVOUS SYSTEM
zotepine	CIDs00005736	Phase 4	approved	CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21	N - NERVOUS SYSTEM
dexamethasone	CIDs00005743	Phase 4	approved	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	R - RESPIRATORY SYSTEM | A - ALIMENTARY TRACT AND METABOLISM | R - RESPIRATORY SYSTEM | S - SENSORY ORGANS | S - SENSORY ORGANS | D - DERMATOLOGICALS | D - DERMATOLOGICALS | S - SENSORY ORGANS | C - CARDIOVASCULAR SYSTEM | D - DERMATOLOGICALS | H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | S - SENSORY ORGANS
cortisone acetate	CIDs00005745	Phase 4	approved	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C	S - SENSORY ORGANS | H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
oxyphenonium	CIDs00005748	Phase 4	approved	CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM
corticosterone	CIDs00005753	Phase 3	unapproved	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO	
cortisol	CIDs00005754	Phase 4	approved	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS | D - DERMATOLOGICALS | S - SENSORY ORGANS | D - DERMATOLOGICALS | A - ALIMENTARY TRACT AND METABOLISM | R - RESPIRATORY SYSTEM | C - CARDIOVASCULAR SYSTEM | H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | S - SENSORY ORGANS
